Experiment	Frequency Sweep	
Date	04.05.2017 16:10:16	
User		
f_res (Hz)	31324.0835	
Q	51857	
Phase (deg)	-616.12	
Amp/Exc (nm/mV)	0.483608	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-65.3410E-3	31.3237E+3	1.37764E-9	76.9249E+0
-46.6717E-3	31.3237E+3	1.45288E-9	73.4883E+0
-28.0024E-3	31.3237E+3	1.56048E-9	71.4192E+0
-9.33317E-3	31.3237E+3	1.62464E-9	70.5028E+0
9.33611E-3	31.3237E+3	1.68257E-9	69.5762E+0
28.0054E-3	31.3237E+3	1.72431E-9	67.9238E+0
46.6747E-3	31.3237E+3	1.79625E-9	65.2775E+0
65.3439E-3	31.3237E+3	1.86375E-9	63.2046E+0
84.0132E-3	31.3237E+3	1.89637E-9	61.3128E+0
102.682E-3	31.3237E+3	1.90654E-9	60.3568E+0
121.352E-3	31.3237E+3	1.90601E-9	59.2119E+0
140.021E-3	31.3237E+3	1.96025E-9	56.1176E+0
158.690E-3	31.3237E+3	2.09628E-9	50.7049E+0
177.360E-3	31.3237E+3	2.21894E-9	47.0541E+0
196.029E-3	31.3237E+3	2.26674E-9	43.9163E+0
214.698E-3	31.3237E+3	2.27713E-9	40.8525E+0
233.367E-3	31.3237E+3	2.27503E-9	38.6160E+0
252.037E-3	31.3237E+3	2.26856E-9	37.1370E+0
270.706E-3	31.3237E+3	2.29706E-9	32.8247E+0
289.375E-3	31.3237E+3	2.33805E-9	27.5514E+0
308.045E-3	31.3237E+3	2.39508E-9	23.2110E+0
326.714E-3	31.3237E+3	2.41298E-9	18.7391E+0
345.383E-3	31.3237E+3	2.41804E-9	14.2018E+0
364.052E-3	31.3237E+3	2.36418E-9	10.4658E+0
382.722E-3	31.3237E+3	2.28117E-9	8.00857E+0
401.391E-3	31.3237E+3	2.21244E-9	7.00913E+0
420.060E-3	31.3237E+3	2.15221E-9	4.82138E+0
438.729E-3	31.3237E+3	2.10412E-9	1.68321E+0
457.399E-3	31.3237E+3	2.05682E-9	-1.71364E+0
476.068E-3	31.3237E+3	1.96587E-9	-4.93868E+0
494.737E-3	31.3237E+3	1.91775E-9	-6.56087E+0
513.407E-3	31.3237E+3	1.85655E-9	-9.25838E+0
532.076E-3	31.3237E+3	1.80342E-9	-13.0737E+0
550.745E-3	31.3237E+3	1.72543E-9	-15.3052E+0
569.414E-3	31.3237E+3	1.66400E-9	-16.8300E+0
588.084E-3	31.3237E+3	1.61228E-9	-18.2559E+0
606.753E-3	31.3237E+3	1.56024E-9	-18.5888E+0
625.422E-3	31.3237E+3	1.52585E-9	-19.2800E+0
644.091E-3	31.3237E+3	1.47636E-9	-20.6277E+0
662.761E-3	31.3237E+3	1.41646E-9	-22.1531E+0
681.430E-3	31.3237E+3	1.37226E-9	-24.2683E+0
700.099E-3	31.3237E+3	1.35093E-9	-23.7101E+0
718.768E-3	31.3237E+3	1.33104E-9	-26.6886E+0
737.438E-3	31.3237E+3	1.27116E-9	-28.2866E+0
756.107E-3	31.3237E+3	1.21643E-9	-28.3221E+0
774.776E-3	31.3237E+3	1.20927E-9	-27.9277E+0
793.445E-3	31.3237E+3	1.16552E-9	-28.8832E+0
812.115E-3	31.3237E+3	1.13176E-9	-29.9164E+0
830.784E-3	31.3237E+3	1.12297E-9	-30.6675E+0
849.453E-3	31.3237E+3	1.09793E-9	-31.4650E+0
868.122E-3	31.3237E+3	1.07982E-9	-32.4649E+0
886.792E-3	31.3237E+3	1.04482E-9	-34.4930E+0
905.461E-3	31.3237E+3	1.00455E-9	-34.9913E+0
924.130E-3	31.3237E+3	979.637E-12	-35.5136E+0
942.799E-3	31.3237E+3	967.122E-12	-34.8338E+0
961.469E-3	31.3237E+3	966.636E-12	-36.0253E+0
980.138E-3	31.3237E+3	944.358E-12	-38.1815E+0
998.807E-3	31.3237E+3	900.958E-12	-38.1367E+0
1.01748E+0	31.3237E+3	880.913E-12	-38.5090E+0
1.03615E+0	31.3237E+3	886.467E-12	-38.3016E+0
1.05481E+0	31.3237E+3	852.190E-12	-40.7098E+0
1.07348E+0	31.3237E+3	843.617E-12	-41.1611E+0
1.09215E+0	31.3237E+3	808.785E-12	-39.9378E+0
1.11082E+0	31.3237E+3	811.932E-12	-39.2046E+0
1.12949E+0	31.3237E+3	805.923E-12	-42.0648E+0
1.14816E+0	31.3237E+3	769.528E-12	-41.5858E+0
1.16683E+0	31.3237E+3	767.390E-12	-43.1044E+0
1.18550E+0	31.3237E+3	736.054E-12	-43.1362E+0
1.20417E+0	31.3237E+3	725.159E-12	-43.3698E+0
1.22284E+0	31.3237E+3	701.777E-12	-43.9610E+0
1.24151E+0	31.3237E+3	683.653E-12	-43.3601E+0
1.26018E+0	31.3237E+3	714.845E-12	-44.6609E+0
1.27885E+0	31.3237E+3	680.733E-12	-47.7631E+0
1.29752E+0	31.3237E+3	651.267E-12	-44.7380E+0
1.31618E+0	31.3237E+3	643.194E-12	-44.3727E+0
1.33485E+0	31.3237E+3	649.821E-12	-45.5568E+0
1.35352E+0	31.3237E+3	629.062E-12	-47.3724E+0
1.37219E+0	31.3237E+3	610.365E-12	-46.6843E+0
1.39086E+0	31.3237E+3	608.894E-12	-45.6273E+0
1.40953E+0	31.3237E+3	614.152E-12	-47.9923E+0
1.42820E+0	31.3237E+3	578.005E-12	-48.1840E+0
1.44687E+0	31.3237E+3	564.457E-12	-46.3209E+0
1.46554E+0	31.3237E+3	566.593E-12	-45.5595E+0
1.48421E+0	31.3237E+3	575.872E-12	-47.2498E+0
1.50288E+0	31.3237E+3	542.184E-12	-50.2268E+0
1.52155E+0	31.3237E+3	541.128E-12	-45.2767E+0
1.54022E+0	31.3237E+3	563.242E-12	-49.2990E+0
1.55888E+0	31.3237E+3	501.108E-12	-48.3382E+0
1.57755E+0	31.3237E+3	547.548E-12	-45.7866E+0
1.59622E+0	31.3237E+3	507.338E-12	-51.8243E+0
1.61489E+0	31.3237E+3	500.227E-12	-46.6057E+0
1.63356E+0	31.3237E+3	519.779E-12	-51.0942E+0
1.65223E+0	31.3237E+3	479.804E-12	-47.4895E+0
1.67090E+0	31.3237E+3	495.934E-12	-50.1695E+0
1.68957E+0	31.3237E+3	469.248E-12	-50.4748E+0
1.70824E+0	31.3237E+3	479.185E-12	-49.4159E+0
1.72691E+0	31.3237E+3	457.945E-12	-50.2330E+0
1.74558E+0	31.3237E+3	467.130E-12	-49.0127E+0
1.76425E+0	31.3237E+3	464.734E-12	-51.4377E+0
1.78292E+0	31.3237E+3	436.584E-12	-49.8939E+0
1.80158E+0	31.3237E+3	459.076E-12	-52.1331E+0
1.82025E+0	31.3237E+3	437.328E-12	-48.8150E+0
1.83892E+0	31.3237E+3	434.909E-12	-50.8857E+0
1.85759E+0	31.3237E+3	426.701E-12	-50.4984E+0
1.87626E+0	31.3237E+3	416.126E-12	-49.3703E+0
1.89493E+0	31.3237E+3	410.504E-12	-53.7062E+0
1.91360E+0	31.3237E+3	414.069E-12	-50.5173E+0
1.93227E+0	31.3237E+3	412.736E-12	-53.1781E+0
1.95094E+0	31.3237E+3	394.819E-12	-50.9771E+0
1.96961E+0	31.3237E+3	408.401E-12	-53.0958E+0
1.98828E+0	31.3237E+3	391.041E-12	-49.5784E+0
2.00695E+0	31.3237E+3	358.467E-12	-54.9439E+0
2.02562E+0	31.3237E+3	409.700E-12	-49.7131E+0
2.04429E+0	31.3237E+3	350.995E-12	-57.7545E+0
2.06295E+0	31.3237E+3	386.540E-12	-48.4255E+0
2.08162E+0	31.3237E+3	356.959E-12	-55.6296E+0
2.10029E+0	31.3237E+3	372.783E-12	-50.2367E+0
2.11896E+0	31.3237E+3	358.506E-12	-53.1683E+0
2.13763E+0	31.3237E+3	362.576E-12	-53.7568E+0
2.15630E+0	31.3237E+3	344.781E-12	-51.3237E+0
2.17497E+0	31.3237E+3	349.291E-12	-54.7540E+0
2.19364E+0	31.3237E+3	350.158E-12	-52.5328E+0
2.21231E+0	31.3237E+3	328.062E-12	-53.6805E+0
2.23098E+0	31.3237E+3	343.633E-12	-51.2927E+0
2.24965E+0	31.3237E+3	343.489E-12	-52.5928E+0
2.26832E+0	31.3237E+3	322.817E-12	-53.3943E+0
2.28699E+0	31.3237E+3	342.288E-12	-54.5255E+0
2.30566E+0	31.3237E+3	322.881E-12	-52.2289E+0
2.32433E+0	31.3237E+3	333.076E-12	-53.9200E+0
2.34300E+0	31.3237E+3	333.946E-12	-52.4869E+0
2.36166E+0	31.3237E+3	315.560E-12	-54.3249E+0
2.38033E+0	31.3237E+3	299.091E-12	-53.7652E+0
2.39900E+0	31.3237E+3	317.903E-12	-53.2716E+0
2.41767E+0	31.3237E+3	292.242E-12	-51.1718E+0
2.43634E+0	31.3237E+3	307.518E-12	-59.4855E+0
2.45501E+0	31.3237E+3	310.551E-12	-49.5896E+0
2.47368E+0	31.3237E+3	289.893E-12	-53.8932E+0
2.49235E+0	31.3237E+3	312.438E-12	-55.8586E+0
2.51102E+0	31.3237E+3	284.307E-12	-48.7861E+0
2.52969E+0	31.3237E+3	272.855E-12	-56.1619E+0
2.54836E+0	31.3237E+3	297.282E-12	-57.6324E+0
2.56703E+0	31.3237E+3	301.379E-12	-50.7729E+0
2.58570E+0	31.3237E+3	274.184E-12	-52.3729E+0
2.60437E+0	31.3237E+3	280.145E-12	-57.5653E+0
2.62304E+0	31.3237E+3	290.357E-12	-55.4040E+0
2.64171E+0	31.3237E+3	289.857E-12	-53.1221E+0
2.66037E+0	31.3237E+3	277.672E-12	-50.8994E+0
2.67904E+0	31.3237E+3	248.590E-12	-53.8448E+0
2.69771E+0	31.3237E+3	269.385E-12	-57.6629E+0
2.71638E+0	31.3237E+3	276.197E-12	-55.6726E+0
2.73505E+0	31.3237E+3	262.496E-12	-55.4677E+0
2.75372E+0	31.3237E+3	259.425E-12	-54.8924E+0
2.77239E+0	31.3237E+3	266.029E-12	-54.7962E+0
2.79106E+0	31.3237E+3	263.605E-12	-53.3869E+0
2.80973E+0	31.3237E+3	260.235E-12	-56.3301E+0
2.82840E+0	31.3237E+3	267.784E-12	-54.6556E+0
2.84707E+0	31.3237E+3	269.727E-12	-49.7426E+0
2.86574E+0	31.3237E+3	237.164E-12	-54.4269E+0
2.88441E+0	31.3237E+3	253.489E-12	-57.3981E+0
2.90308E+0	31.3237E+3	257.961E-12	-54.8045E+0
2.92175E+0	31.3237E+3	251.370E-12	-51.7115E+0
2.94041E+0	31.3237E+3	221.571E-12	-52.1997E+0
2.95908E+0	31.3237E+3	226.576E-12	-56.4519E+0
2.97775E+0	31.3237E+3	239.508E-12	-57.3938E+0
2.99642E+0	31.3237E+3	242.367E-12	-55.7660E+0
3.01509E+0	31.3237E+3	247.170E-12	-52.2778E+0
3.03376E+0	31.3237E+3	234.637E-12	-49.9391E+0
3.05243E+0	31.3237E+3	213.337E-12	-52.6515E+0
3.07110E+0	31.3237E+3	226.298E-12	-55.2394E+0
