shift	center	amp	phase
-386.568E-3	31.3223E+3	620.281E-12	102.265E+0
-395.883E-3	31.3223E+3	578.470E-12	104.329E+0
-405.198E-3	31.3223E+3	567.470E-12	100.238E+0
-414.513E-3	31.3223E+3	558.036E-12	101.979E+0
-423.828E-3	31.3223E+3	518.989E-12	104.129E+0
-433.143E-3	31.3223E+3	529.652E-12	103.014E+0
-442.458E-3	31.3223E+3	512.211E-12	103.434E+0
-451.773E-3	31.3223E+3	482.213E-12	104.486E+0
-461.088E-3	31.3223E+3	483.006E-12	104.565E+0
-470.403E-3	31.3223E+3	480.841E-12	102.803E+0
-479.718E-3	31.3223E+3	463.560E-12	105.419E+0
-489.034E-3	31.3223E+3	459.184E-12	105.716E+0
-498.349E-3	31.3223E+3	445.474E-12	104.645E+0
-507.664E-3	31.3223E+3	421.863E-12	107.610E+0
-516.979E-3	31.3223E+3	427.119E-12	105.004E+0
-526.294E-3	31.3223E+3	432.720E-12	105.916E+0
-535.609E-3	31.3223E+3	412.538E-12	106.651E+0
-544.924E-3	31.3223E+3	402.886E-12	103.345E+0
-554.239E-3	31.3223E+3	378.725E-12	111.032E+0
-563.554E-3	31.3223E+3	378.678E-12	105.013E+0
-572.869E-3	31.3223E+3	384.272E-12	107.056E+0
-582.184E-3	31.3223E+3	383.072E-12	103.437E+0
-591.499E-3	31.3223E+3	354.498E-12	107.250E+0
-600.814E-3	31.3223E+3	366.973E-12	108.606E+0
-610.129E-3	31.3223E+3	333.835E-12	109.150E+0
-619.445E-3	31.3223E+3	359.799E-12	108.755E+0
-628.760E-3	31.3223E+3	336.548E-12	103.078E+0
-638.075E-3	31.3223E+3	337.257E-12	107.953E+0
-647.390E-3	31.3223E+3	326.540E-12	108.757E+0
-656.705E-3	31.3223E+3	326.464E-12	108.145E+0
-666.020E-3	31.3223E+3	320.533E-12	107.562E+0
-675.335E-3	31.3223E+3	325.261E-12	106.308E+0
-684.650E-3	31.3223E+3	301.182E-12	104.668E+0
-693.965E-3	31.3223E+3	306.337E-12	111.318E+0
-703.280E-3	31.3223E+3	329.153E-12	108.438E+0
-712.595E-3	31.3223E+3	278.131E-12	102.862E+0
-721.910E-3	31.3223E+3	296.927E-12	111.178E+0
-731.225E-3	31.3223E+3	291.877E-12	107.516E+0
-740.541E-3	31.3223E+3	262.822E-12	112.658E+0
-749.856E-3	31.3223E+3	290.868E-12	106.557E+0
-759.171E-3	31.3223E+3	252.791E-12	110.657E+0
-768.486E-3	31.3223E+3	293.576E-12	111.030E+0
-777.801E-3	31.3223E+3	264.369E-12	100.538E+0
-787.116E-3	31.3223E+3	244.572E-12	114.978E+0
-796.431E-3	31.3223E+3	271.093E-12	107.648E+0
-805.746E-3	31.3223E+3	266.181E-12	110.429E+0
-815.061E-3	31.3223E+3	264.181E-12	110.332E+0
-824.376E-3	31.3223E+3	269.531E-12	104.177E+0
-833.691E-3	31.3223E+3	223.669E-12	110.294E+0
-843.006E-3	31.3223E+3	235.268E-12	114.415E+0
-852.321E-3	31.3223E+3	245.256E-12	109.482E+0
-861.636E-3	31.3223E+3	247.583E-12	111.754E+0
-870.952E-3	31.3223E+3	253.669E-12	113.533E+0
-880.267E-3	31.3223E+3	248.751E-12	110.438E+0
-889.582E-3	31.3223E+3	228.978E-12	102.847E+0
-898.897E-3	31.3223E+3	201.380E-12	106.548E+0
