Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
4.59745E+0	31.6915E+3	752.274E-12	-71.8864E+0
4.67221E+0	31.6915E+3	735.334E-12	-72.4964E+0
4.74696E+0	31.6915E+3	731.458E-12	-72.6066E+0
4.82172E+0	31.6915E+3	678.231E-12	-72.0748E+0
4.89647E+0	31.6915E+3	695.027E-12	-72.4714E+0
4.97123E+0	31.6915E+3	686.135E-12	-73.1999E+0
5.04598E+0	31.6915E+3	676.726E-12	-73.7370E+0
5.12074E+0	31.6915E+3	664.480E-12	-73.8536E+0
5.19549E+0	31.6915E+3	658.992E-12	-73.9219E+0
5.27025E+0	31.6915E+3	648.641E-12	-74.2111E+0
5.34500E+0	31.6915E+3	636.759E-12	-74.5171E+0
5.41976E+0	31.6915E+3	624.518E-12	-74.1587E+0
5.49451E+0	31.6915E+3	614.154E-12	-74.8667E+0
5.56927E+0	31.6915E+3	600.350E-12	-75.1100E+0
5.64402E+0	31.6915E+3	596.638E-12	-75.4753E+0
5.71878E+0	31.6915E+3	586.225E-12	-76.0440E+0
5.79353E+0	31.6915E+3	576.274E-12	-75.3494E+0
5.86829E+0	31.6915E+3	567.902E-12	-76.0942E+0
5.94304E+0	31.6915E+3	560.124E-12	-76.1315E+0
6.01780E+0	31.6915E+3	550.210E-12	-75.8491E+0
6.09256E+0	31.6915E+3	546.123E-12	-76.3482E+0
6.16731E+0	31.6915E+3	535.344E-12	-76.1482E+0
6.24207E+0	31.6915E+3	528.660E-12	-76.1597E+0
6.31682E+0	31.6915E+3	519.765E-12	-76.3806E+0
6.39158E+0	31.6915E+3	512.836E-12	-76.8533E+0
6.46633E+0	31.6915E+3	505.868E-12	-76.6783E+0
6.54109E+0	31.6915E+3	504.341E-12	-76.8387E+0
6.61584E+0	31.6915E+3	496.418E-12	-77.0499E+0
6.69060E+0	31.6915E+3	488.197E-12	-77.1481E+0
6.76535E+0	31.6915E+3	481.413E-12	-76.8213E+0
6.84011E+0	31.6915E+3	475.671E-12	-77.1842E+0
6.91486E+0	31.6915E+3	470.956E-12	-77.1702E+0
6.98962E+0	31.6915E+3	466.534E-12	-77.5372E+0
7.06437E+0	31.6915E+3	455.747E-12	-77.5507E+0
7.13913E+0	31.6915E+3	451.201E-12	-77.5510E+0
7.21388E+0	31.6915E+3	446.754E-12	-77.8374E+0
7.28864E+0	31.6915E+3	445.288E-12	-77.9351E+0
7.36339E+0	31.6915E+3	434.827E-12	-77.5121E+0
7.43815E+0	31.6915E+3	431.583E-12	-77.6388E+0
7.51290E+0	31.6915E+3	426.109E-12	-78.0341E+0
7.58766E+0	31.6915E+3	422.360E-12	-77.8080E+0
7.66241E+0	31.6915E+3	419.350E-12	-78.1902E+0
7.73717E+0	31.6915E+3	412.358E-12	-78.4468E+0
7.81192E+0	31.6915E+3	407.953E-12	-78.2719E+0
7.88668E+0	31.6915E+3	407.344E-12	-78.5754E+0
7.96143E+0	31.6915E+3	399.236E-12	-78.4402E+0
8.03619E+0	31.6915E+3	396.088E-12	-78.9669E+0
8.11095E+0	31.6915E+3	390.639E-12	-78.4925E+0
8.18570E+0	31.6915E+3	389.835E-12	-78.6772E+0
8.26046E+0	31.6915E+3	385.618E-12	-78.9732E+0
